"conta","texto","url","data"
"BolsonaroSP","O aluno tem que respeitar a autoridade do professor, ele está em sala de aula para aprender e não para fazer o que bem entender. Quantos de nós não passamos por situações que a época achávamos desagradáveis, mas hoje agradecemos nossos pais por terem nos posto naquela escola? https://twitter.com/paulomartins10/status/1115650516707618817","https://twitter.com/BolsonaroSP/status/1115687535957749760","2019-04-09 14:46:51 EDT"
"jairbolsonaro","Sempre de coração aberto, desta vez falamos na Conferência Nacional de Municípios do Brasil. http://youtu.be/QNuKT_AXmZQ","https://twitter.com/jairbolsonaro/status/1115682938312699905","2019-04-09 14:28:35 EDT"
"BolsonaroSP","Ao vivo agora sessão da CCJ que analisa a admissibilidade e constitucionalidade da PEC nº 6 (Nova Previdência): https://www2.camara.leg.br/atividade-legislativa/webcamara/ao-vivo/transmissoes-do-dia/aoVivoSinais?codReuniao=54984","https://twitter.com/BolsonaroSP/status/1115680506102845447","2019-04-09 14:18:55 EDT"
"Marceloalvaroan","22ª Marcha a Brasília em Defesa dos Municípios. Este trabalho integrado entre governo federal e prefeituras é fundamental para o Brasil desenvolver todo o seu potencial turístico. É nos municípios que o nosso setor vira realidade. #CNM #GovernoFederal #MTur #turismo https://t.co/8j674FTFYd","https://twitter.com/Marceloalvaroan/status/1115667580063289344","2019-04-09 13:27:33 EDT"
"tarcisiogdf","Outro anúncio importante: estamos iniciando, junto ao @governope, um estudo de viabilidade para a abertura de capital do Porto de Suape. Há um movimento de quebra de paradigma na gestão dos portos brasileiros na busca de modelos de gestão mais flexíveis e eficientes.","https://twitter.com/tarcisiogdf/status/1115656902845902855","2019-04-09 12:45:08 EDT"
"BolsonaroSP","Em atendimento a empreendedores imobiliários uma reclamação frequente: a corrupção como condição para conseguir empréstimo bancário. Combatê-la significa moralizar o procedimento e garantir um preço mais justo ao consumidor final. https://t.co/FX1I6EDwbM","https://twitter.com/BolsonaroSP/status/1115656233191653376","2019-04-09 12:42:28 EDT"
"OsmarTerra","É de cortar o coração https://twitter.com/nilson_nilson/status/1115421178695495680","https://twitter.com/OsmarTerra/status/1115654756977057795","2019-04-09 12:36:36 EDT"
"tarcisiogdf","Assinando, neste momento, 10 contratos de adesão em portos no Amazonas, Amapá, Pará, Rio Grande do Norte e Santa Catarina. Outros dois de arrendamento em Santos (SP) e Itaqui (MA). Investimento total de R$ 647 mi feitos pela iniciativa privada. Mais informações: @portosdobrasil https://t.co/If7wuzPePj","https://twitter.com/tarcisiogdf/status/1115638012027842563","2019-04-09 11:30:04 EDT"
"DamaresAlves","Luiza participa voluntariamente. Será nossa inspiração. Psicólogos, psiquiatras e outros profissionais também estarão conosco. Conto com vocês para que nossa campanha alcance, pelas redes sociais, o maior número possível de famílias. #AcolhaaVida","https://twitter.com/DamaresAlves/status/1115634127913533441","2019-04-09 11:14:38 EDT"
"CarlosBolsonaro","Chuvas e irresponsabilidades trazem este tipo de resultado ao Rio. Novo, é o Prefeito culpar o Presidente com pouco mais de 3 meses de mandato e realizando o que pode pelo país. Meus sentimentos ao carioca. Seguimos cobrando e propondo soluções como sempre participamos.","https://twitter.com/CarlosBolsonaro/status/1115633015630307329","2019-04-09 11:10:13 EDT"
